text,mood,mood_id
"I tried to focus at the home, but everything felt dull.",sad,1
A quiet hour with my teammate was exactly what I needed.,chill,2
Crushed my morning coffee; I'm buzzing with focus.,workout,5
Crushed my lecture hall; I'm buzzing with focus.,workout,5
"I warned them, but my parents still surprised me. I'm done.",angry,3
My the driver hyped me up and I’m all in.,workout,5
I miss how job interview used to make me feel.,sad,1
Got good news about traffic jam—it made my whole day.,happy,0
It's heavy today; the holiday trip didn't help at all.,sad,1
"After family dinner, I just want to curl up and rest.",sleep,6
It's heavy today; the sunny afternoon didn't help at all.,sad,1
I miss how evening walk used to make me feel.,sad,1
Another delay in bus ride; I'm sick of this nonsense.,angry,3
My the cashier just praised my work; I'm genuinely grateful.,happy,0
A small message from the lecturer made my heart warm.,romantic,4
"After a stranger praised my work, I felt the room go quiet inside me.",sad,1
I saved songs from our gym session for later.,romantic,4
My the cashier returned my call and now I feel drowsy.,sleep,6
The breeze during my cricket match made everything slow down.,chill,2
I can't stop smiling after the driver forgot my name at the library.,happy,0
"After sunny afternoon, I finally felt my shoulders unclench.",chill,2
I caught the cashier smiling at me and time slowed.,romantic,4
The quiet at the market is putting me to sleep.,sleep,6
Today felt light; even the birthday party tasted better than usual.,happy,0
Walking to the lab with them felt like a movie scene.,romantic,4
I was fuming when my boss praised my work during evening walk.,angry,3
I need soft sounds tonight; the group project drained me.,sleep,6
The exam results reminded me I'm not okay yet.,sad,1
Sat near the market and let the noise drift away.,chill,2
I set big goals today and I'm charging at them.,workout,5
I can't stop smiling after my sister brought cake at the office.,happy,0
"I warned them, but a stranger still cancelled plans. I'm done.",angry,3
The sunny afternoon turned into a small win I really needed.,happy,0
I put on soft music and let the day exhale.,chill,2
"I tried to focus at the home, but everything felt dull.",sad,1
The beat dropped and the market felt electric.,workout,5
Crushed my cricket match; I'm buzzing with focus.,workout,5
Today felt light; even the rainy day tasted better than usual.,happy,0
Walking to the bus stop with them felt like a movie scene.,romantic,4
I caught my neighbor smiling at me and time slowed.,romantic,4
I saved songs from our late-night study for later.,romantic,4
Crushed my job interview; I'm buzzing with focus.,workout,5
The breeze during my birthday party made everything slow down.,chill,2
My a stranger hyped me up and I’m all in.,workout,5
Walking to the office with them felt like a movie scene.,romantic,4
The job interview turned into a small win I really needed.,happy,0
My a stranger just cancelled plans; I'm genuinely grateful.,happy,0
Sat near the classroom and let the noise drift away.,chill,2
I put on soft music and let the day exhale.,chill,2
Got good news about late-night study—it made my whole day.,happy,0
I can't stop smiling after my teammate forgot my name at the home.,happy,0
I need soft sounds tonight; the traffic jam drained me.,sleep,6
Got good news about payday—it made my whole day.,happy,0
I can't stop smiling after my parents praised my work at the home.,happy,0
Walking to the canteen with them felt like a movie scene.,romantic,4
It's heavy today; the lecture hall didn't help at all.,sad,1
The beat dropped and the library felt electric.,workout,5
Another delay in rainy day; I'm sick of this nonsense.,angry,3
Walking to the market with them felt like a movie scene.,romantic,4
I set big goals today and I'm charging at them.,workout,5
I was fuming when my sister played my song during gym session.,angry,3
The playlist shuffle reminded me I'm not okay yet.,sad,1
I was fuming when my neighbor cancelled plans during job interview.,angry,3
I was fuming when my parents surprised me during family dinner.,angry,3
I can't stop smiling after the lecturer cancelled plans at the bus stop.,happy,0
The beat dropped and the library felt electric.,workout,5
The job interview turned into a small win I really needed.,happy,0
I need soft sounds tonight; the late-night study drained me.,sleep,6
"After gym session, I could run a mile and then some.",workout,5
"After sunny afternoon, I finally felt my shoulders unclench.",chill,2
It's heavy today; the cricket match didn't help at all.,sad,1
"I warned them, but my boss still forgot my name. I'm done.",angry,3
Crushed my playlist shuffle; I'm buzzing with focus.,workout,5
The breeze during my birthday party made everything slow down.,chill,2
My the cashier just texted me; I'm genuinely grateful.,happy,0
I was fuming when the driver forgot my name during bus ride.,angry,3
I saved songs from our gym session for later.,romantic,4
I miss how holiday trip used to make me feel.,sad,1
"After morning coffee, I could run a mile and then some.",workout,5
The bus stop lights dimmed and my eyes felt heavy.,sleep,6
I set big goals today and I'm charging at them.,workout,5
"After gym session, I finally felt my shoulders unclench.",chill,2
"I warned them, but my teammate still forgot my name. I'm done.",angry,3
The playlist shuffle turned into a small win I really needed.,happy,0
I put on soft music and let the day exhale.,chill,2
I need soft sounds tonight; the birthday party drained me.,sleep,6
I need soft sounds tonight; the family dinner drained me.,sleep,6
The studio lights dimmed and my eyes felt heavy.,sleep,6
The beat dropped and the beach felt electric.,workout,5
"After rainy day, I finally felt my shoulders unclench.",chill,2
My my parents just brought cake; I'm genuinely grateful.,happy,0
The quiet at the classroom is putting me to sleep.,sleep,6
A quiet hour with the lecturer was exactly what I needed.,chill,2
"After playlist shuffle, I finally felt my shoulders unclench.",chill,2
The quiet at the lab is putting me to sleep.,sleep,6
My patience snapped in that stadium queue.,angry,3
We shared family dinner together; it felt effortless.,romantic,4
"After rainy day, I just want to curl up and rest.",sleep,6
Another delay in playlist shuffle; I'm sick of this nonsense.,angry,3
The library lights dimmed and my eyes felt heavy.,sleep,6
I miss how new phone used to make me feel.,sad,1
"I tried to focus at the stadium, but everything felt dull.",sad,1
The new phone reminded me I'm not okay yet.,sad,1
My a stranger just ignored my message; I'm genuinely grateful.,happy,0
I put on soft music and let the day exhale.,chill,2
I saved songs from our payday for later.,romantic,4
The canteen lights dimmed and my eyes felt heavy.,sleep,6
Walking to the beach with them felt like a movie scene.,romantic,4
"I tried to focus at the lab, but everything felt dull.",sad,1
The quiet at the office is putting me to sleep.,sleep,6
I put on soft music and let the day exhale.,chill,2
The way things went at the beach was unacceptable.,angry,3
A small message from my crush made my heart warm.,romantic,4
"After my teammate spilled coffee, I felt the room go quiet inside me.",sad,1
The canteen lights dimmed and my eyes felt heavy.,sleep,6
My the driver played my song and now I feel drowsy.,sleep,6
I can't stop smiling after the cashier cancelled plans at the lab.,happy,0
My my sister hyped me up and I’m all in.,workout,5
My my boss hyped me up and I’m all in.,workout,5
Today felt light; even the traffic jam tasted better than usual.,happy,0
I miss how rainy day used to make me feel.,sad,1
The quiet at the canteen is putting me to sleep.,sleep,6
I need soft sounds tonight; the gym session drained me.,sleep,6
The morning coffee reminded me I'm not okay yet.,sad,1
